Data,Abertura,Máxima,Mínima,Fechamento,Volume Financeiro
11/08/2023,"54,82","54,96","53,16","53,71","295398751,5"
10/08/2023,"55,03","55,29","54,7","54,8",169077294
09/08/2023,"55,73","55,95","55,1","55,1","157436194,5"
08/08/2023,"55,1",56,"54,9","55,75","204621295,5"
07/08/2023,"54,85","55,2","54,35","55,15",222958413
04/08/2023,"55,47","55,93","54,6","54,86",158434668
03/08/2023,"55,4","55,58","55,07","55,38","108231655,5"
02/08/2023,"55,52","55,74","54,95","55,41",189355113
01/08/2023,"55,58","55,89","54,74","55,51",184368537
31/07/2023,"55,66","55,8","54,9","55,4",226620036
28/07/2023,"57,24","57,31","55,71","55,9","237000316,5"
27/07/2023,"56,41","57,3","56,3","57,1","137201944,5"
26/07/2023,"57,14","57,36","56,4","56,67",173214216
25/07/2023,"58,29","58,3","57,17","57,35",161660880
24/07/2023,"57,27","58,99","57,06","58,17",206203500
21/07/2023,"57,67","57,88","56,05","57,18","296691547,5"
20/07/2023,"59,53","59,53","57,16","57,65",392585463
19/07/2023,"57,98","60,3","57,8","59,39","592024459,5"
18/07/2023,"55,62","58,17","55,6","57,7",410422716
17/07/2023,"56,35","56,94","55,3","55,86",177327900
14/07/2023,"56,1","56,58","55,8","56,34","153441823,5"
13/07/2023,"55,37","56,2","55,21","56,12","170960062,5"
12/07/2023,"56,4","56,95","55,1","55,4",263732985
11/07/2023,"55,85","56,34",55,"56,28","218913412,5"
10/07/2023,"55,33","56,75","55,31",56,153856620
07/07/2023,"56,61","56,95","55,35","55,41",190495764
06/07/2023,"55,47","56,65","55,4","56,59","159914677,5"
05/07/2023,"56,26","56,88","55,2","55,44",268797087
04/07/2023,"55,21","57,1","54,9","56,5","214368385,5"
03/07/2023,55,"56,4","54,34","55,3","196108132,5"
30/06/2023,"56,6","57,39","54,67","55,33",495911763
29/06/2023,"57,33","57,39","56,02","56,58",294955452
28/06/2023,"58,44","58,85","56,94","57,39","370666174,5"
27/06/2023,"60,61","61,85","57,67","58,45","371315173,5"
26/06/2023,"59,85","60,5","58,6","60,4","324786289,5"
23/06/2023,"62,9","62,9","59,86","59,91",392161779
22/06/2023,"64,73","64,73","62,51","62,83",474713217
21/06/2023,"61,55","64,47","61,45","64,47",592369803
20/06/2023,"61,31","61,8","60,1","61,45",247408074
19/06/2023,"61,65","62,01","59,51","61,27",380149623
16/06/2023,"59,38",62,"59,15","61,92","409733635,5"
15/06/2023,"57,61","59,47","57,24","59,24","308659621,5"
14/06/2023,"57,4",58,"56,77","57,75",167332149
13/06/2023,"57,84","58,69","57,51","57,51",192336075
12/06/2023,"57,51","58,75","57,48","57,9","133720573,5"
09/06/2023,"57,67","58,55","57,21","57,5","202564939,5"
07/06/2023,"57,22","57,89","57,05","57,6","135703984,5"
06/06/2023,"57,02","57,98","56,66","57,19","214704796,5"
05/06/2023,"57,96","58,39","56,96","57,1","153723730,5"
02/06/2023,"58,77","59,12","57,36","57,95","275456857,5"
01/06/2023,"57,48","58,95","56,85","58,8",258984135
31/05/2023,58,"58,48","56,01","57,3",405925344
30/05/2023,"61,8","61,9","58,78","58,78",342782883
29/05/2023,"61,28","62,28","60,33","61,85",211981761
26/05/2023,"58,92","61,65","58,56","61,3","345056773,5"
25/05/2023,"58,96","59,34","57,81","58,8","330922966,5"
24/05/2023,"59,24",60,"57,61","58,9","317207767,5"
23/05/2023,"57,03","59,3","56,02","59,1",424583622
22/05/2023,"57,42","58,15","56,55","57,05",243654498
19/05/2023,"56,38","57,78","55,6","57,26","538185199,5"
18/05/2023,"57,31","57,39","54,54","56,3","458953132,5"
17/05/2023,"58,38","58,6","57,25","57,4",250689456
16/05/2023,"58,98","59,43","58,1","58,49","380516467,5"
15/05/2023,"59,89",61,"58,53","58,82",242357121
12/05/2023,"60,99","61,26","59,4","59,9","311170990,5"
11/05/2023,"61,19","61,88","60,57","61,1","191801713,5"
10/05/2023,"62,22","62,48","60,22","61,2",289118862
09/05/2023,"65,44","65,63","62,19","62,23",283274145
08/05/2023,"63,91","65,75","63,71","65,48","207904018,5"
05/05/2023,"63,75","64,18","63,4","63,9","109173901,5"
04/05/2023,"63,49","64,05","62,98","63,9","142881151,5"
03/05/2023,"63,8","64,2","62,43","63,4","289644448,5"
02/05/2023,"64,5","64,86","63,32","63,95",124778016
28/04/2023,"65,01","65,8","64,15","64,81","251230342,5"
27/04/2023,"66,56","66,65","65,05","65,31",204821703
26/04/2023,"67,35","69,09","66,53","66,9","322692772,5"
25/04/2023,"65,19","67,49","64,64","67,35","343458193,5"
24/04/2023,"67,55","67,74","64,8","65,3",187778421
20/04/2023,"70,01","70,17","66,7","67,61",228106476
19/04/2023,"71,49","71,79","69,6","70,01","246616879,5"
18/04/2023,"73,33","73,83","71,1","71,49",138583071
17/04/2023,"75,47","75,66","73,27","73,46","131458459,5"
14/04/2023,"74,71","75,91","74,11","75,47","125387563,5"
13/04/2023,"76,24","76,32","73,99","74,6",210708819
12/04/2023,"77,79","77,79","75,67","76,25","158724184,5"
